C/Abaa;Abaa;V/Aru
C/Abbe Gonzalves;Abbe Gonzalves;V/Ariwara
C/Adi;Adi;V/Ingbokolo
C/Aluba;Chefferie Aluba;T/Kibombo
C/Alunguli;Alunguli;V/Kindu
C/Alur;Chefferie Alur;T/Aru
C/Alur-Djuganda;Chefferie Alur-Djuganda;T/Mahagi
C/Aluza;Aluza;V/Lubutu
C/Amanyombo;Amanyombo;V/Punia
C/Andikofa;Chefferie Andikofa;T/Watsa
C/Andisoma;Chefferie Andisoma;T/Irumu
C/Andobi;Chefferie Andobi;T/Watsa
C/Anghal;Chefferie Anghal;T/Mahagi
C/Ango;Ango;T/Ango
C/Ankutshu;Chefferie Ankutshu;T/Kibombo
C/Annexe;Annexe;V/Lubumbashi
C/Anoalite;Anoalite;V/Wamba
C/Apaa;Apaa;V/Ariwara
C/Arie;Arie;V/Ingbokolo
C/Asefu;Asefu;V/Oicha
C/Ateru;Chefferie Ateru;T/Watsa
C/Autsai;Autsai;V/Aru
C/Avuru-Duma;Chefferie Avuru-Duma;T/Aketi
C/Avuru-Gatanga;Chefferie Avuru-Gatanga;T/Aketi
C/Azanga;Chefferie Azanga;T/Rungu
C/Babade;Babade;V/Buta
C/Babelebe;Chefferie Babelebe;T/Irumu
C/Babene;Chefferie Babene;T/Pangi
C/Baboa-Bakoe;Chefferie Baboa-Bakoe;T/Irumu
C/Baboma-Nord;Chefferie Baboma-Nord;T/Mushie
C/Babombi;Chefferie Babombi;T/Mambasa
C/Baboro;Chefferie Baboro;T/Banalia
C/Badia;Chefferie Badia;T/Kutu
C/Baenga;Baenga;V/Basankusu
C/Bafuliro;Chefferie Bafuliro;T/Uvira
C/Bafwagada;Chefferie Bafwagada;T/Wamba
C/Bafwakoy;Chefferie Bafwakoy;T/Wamba
C/Bafwasende;Bafwasende;T/Bafwasende
C/Bagata;Bagata;T/Bagata
C/Bagira;Bagira;V/Bukavu
C/Bahema Boga;Chefferie Bahema Boga;T/Irumu
C/Bahema d'Irumu;Chefferie Bahema d'Irumu;T/Irumu
C/Bahema Mitego;Chefferie Bahema Mitego;T/Irumu
C/Bahema-Badjere;Chefferie Bahema-Badjere;T/Djugu
C/Bahema-Banywagi;Chefferie Bahema-Banywagi;T/Djugu
C/Bahema-Nord;Chefferie Bahema-Nord;T/Djugu
C/Bahema-Sud;Chefferie Bahema-Sud;T/Irumu
C/Bahina;Chefferie Bahina;T/Kibombo
C/Bahunde;Chefferie Bahunde;T/Masisi
C/Bakangaie-Avuru;Chefferie Bakangaie-Avuru;T/Poko
C/Bakete;Chefferie Bakete;T/Bambesa
C/Bakisi;Chefferie Bakisi;T/Shabunda
C/Bakongola;Chefferie Bakongola;T/Kibombo
C/Bakongolo;Chefferie Bakongolo;T/Manono
C/Bakuba;Chefferie Bakuba;T/Mweka
C/Bakwa-Kalondji;Chefferie Bakwa-Kalondji;T/Tshilenge
C/Bakwa-Mulumba;Chefferie Bakwa-Mulumba;T/Ngandajika
C/Bakwange;Chefferie Bakwange;T/Kasongo
C/Bakwanza;Chefferie Bakwanza;T/Mambasa
C/Balika-Toriko;Chefferie Balika-Toriko;T/Wamba
C/Balungu;Balungu;T/Lubao
C/Baluolambila;Chefferie Baluolambila;T/Isangi
C/Bamate;Chefferie Bamate;T/Lubero
C/Bambesa;Bambesa;T/Bambesa
C/Bambili;Bambili;V/Dingila
C/Bambo;Bambo;T/Rutshuru
C/Bamokandi;Bamokandi;V/Dungu
C/Bana-Ba-Ntumba;Bana-Ba-Ntumba;T/Dimbelenge
C/Banalia;Banalia;T/Banalia
C/Bandaka;Chefferie Bandaka;T/Mambasa
C/Bandalungwa;Bandalungwa;V/Kinshasa
C/Bandole;Bandole;V/Basoko
C/Bandu-Lokutu;Bandu-Lokutu;V/Basoko
C/Bangengele;Chefferie Bangengele;T/Kailo
C/Banyari-Tchabi;Chefferie Banyari-Tchabi;T/Irumu
C/Baraka Centre;Baraka Centre;V/Baraka
C/Barisi-Mongingita;Chefferie Barisi-Mongingita;T/Buta
C/Barumbu;Barumbu;V/Kinshasa
C/Basanga;Chefferie Basanga;T/Kambove
C/Basankusu;Basankusu;V/Basankusu
C/Basenge;Basenge;V/Punia
C/Bashali;Chefferie Bashali;T/Masisi
C/Bashu;Chefferie Bashu;T/Beni
C/Basile;Chefferie Basile;T/Mwenga
C/Basili;Chefferie Basili;T/Irumu
C/Basoko;Basoko;V/Bandundu
C/Basonge I;Chefferie Basonge I;T/Kasongo
C/Baswagha;Chefferie Baswagha;T/Lubero
C/Batangi;Chefferie Batangi;T/Lubero
C/Bateke-Nord;Chefferie Bateke-Nord;T/Bolobo
C/Batere;Chefferie Batere;T/Kutu
C/Bavira;Chefferie Bavira;T/Uvira
C/Bayashi;Chefferie Bayashi;T/Kongolo
C/Baye;Baye;T/Bondo
C/Bayeke;Chefferie Bayeke;T/Lubudi
C/Bayeu-Bogbama;Chefferie Bayeu-Bogbama;T/Buta
C/Bayeu-Bogongea;Chefferie Bayeu-Bogongea;T/Buta
C/Befale;Befale;T/Befale
C/Bembe;Bembe;V/Ilebo
C/Bena Nkuna;Bena Nkuna;T/Kabeya-Kamwanga
C/Bena-Nyembo;Chefferie Bena-Nyembo;T/Kongolo
C/Bena-Tanga;Chefferie Bena-Tanga;T/Moba
C/Benia-Samba;Chefferie Benia-Samba;T/Kasongo
C/Benze;Chefferie Benze;T/Kalemie
C/Beu;Beu;V/Beni
C/Biakato;Biakato;T/Mambasa
C/Biamange;Chefferie Biamange;T/Bondo
C/Bibembo;Bibembo;V/Masi-Manimba
C/Bikenge;Bikenge;T/Kasongo
C/Bikoro;Bikoro;T/Bikoro
C/Bili;Bili;T/Bondo
C/Bilonda;Bilonda;T/Kazumba
C/Binga;Binga;T/Lisala
C/Bipatu;Bipatu;V/Luebo
C/Bipemba;Bipemba;V/Mbuji-Mayi
C/Bitanga;Bitanga;V/Kamituga
C/Boemi;Chefferie Boemi;T/Niangara
C/Boende;Boende;V/Boende
C/Bokakata;Bokakata;T/Basankusu
C/Bokapo;Chefferie Bokapo;T/Bambesa
C/Bokiba;Chefferie Bokiba;T/Bambesa
C/Bokoro;Bokoro;T/Kutu
C/Bokungu;Bokungu;T/Bokungu
C/Bolikango;Bolikango;V/Lisala
C/Bolobo;Bolobo;V/Bolobo
C/Bolomba;Bolomba;T/Bolomba
C/Bolomboki;Chefferie Bolomboki;T/Isangi
C/Bolungwa;Chefferie Bolungwa;T/Bambesa
C/Bombo-Bagumba;Chefferie Bombo-Bagumba;T/Mambasa
C/Bomongo;Bomongo;T/Bomongo
C/Bondo;Bondo;V/Bondo
C/Bondongola;Chefferie Bondongola;T/Aketi
C/Bondoyi;Bondoyi;V/Mwene-Ditu
C/Bongandanga;Bongandanga;T/Bongandanga
C/Bonse;Bonse;V/Inongo
C/Bosobolo;Bosobolo;T/Bosobolo
C/Bosso;Chefferie Bosso;T/Bondo
C/Boya;Boya;T/Miabi
C/Budja;Budja;V/Bumba
C/Budjala;Budjala;T/Budjala
C/Buhavu;Chefferie Buhavu;T/Kalehe
C/Bukama;Bukama;T/Bukama
C/Bukiongo-Luanga;Bukiongo-Luanga;T/Bulungu
C/Bukumu;Chefferie Bukumu;T/Nyiragongo
C/Bulambika;Bulambika;T/Kalehe
C/Bulengera;Bulengera;V/Butembo
C/Buloho;Chefferie Buloho;T/Kalehe
C/Bulongo;Bulongo;T/Beni
C/Bumbu;Bumbu;V/Kinshasa
C/Bungulu;Bungulu;V/Beni
C/Burhinyi;Chefferie Burhinyi;T/Mwenga
C/Businga;Businga;T/Businga
C/Butumba;Chefferie Butumba;T/Bukama
C/Buzito;Buzito;V/Rutshuru
C/Bwalayu;Bwalayu;T/Masi-Manimba
C/Bwisha;Chefferie Bwisha;T/Rutshuru
C/Bwito;Chefferie Bwito;T/Rutshuru
C/Byenge;Byenge;V/Namoya
C/Cinq Mai;Cinq Mai;V/Kenge
C/Congo;Congo;V/Gungu
C/Dakwa;Dakwa;T/Ango
C/Dekese;Dekese;T/Dekese
C/Dekese-Ikolombe-Isolu;Chefferie Dekese-Ikolombe-Isolu;T/Dekese
C/Demba;Demba;T/Demba
C/Deni;Chefferie Deni;T/Bondo
C/Dianga;Chefferie Dianga;T/Bolomba
C/Dibaya;Dibaya;T/Dibaya
C/Dibindi;Dibindi;V/Mbuji-Mayi
C/Dibumba I;Dibumba I;V/Tshikapa
C/Dibumba II;Dibumba II;V/Tshikapa
C/Dilala;Dilala;V/Kolwezi
C/Dilolo;Dilolo;T/Dilolo
C/Dimayi;Dimayi;V/Kamina
C/Dimbelenge;Dimbelenge;T/Dimbelenge
C/Dingila;Dingila;V/Dingila
C/Disasi;Disasi;V/Bandundu
C/Diulu;Diulu;V/Mbuji-Mayi
C/Djaudjau;Djaudjau;V/Ariwara
C/Djegu;Djegu;T/Mahagi
C/Djolu;Djolu;T/Djolu
C/Djonga;Chefferie Djonga;T/Lomela
C/Djugu;Djugu;T/Djugu
C/Djukot;Chefferie Djukot;T/Mahagi
C/Djuma;Djuma;T/Bulungu
C/Dobea;Dobea;V/Buta
C/Dongo;Chefferie Dongo;T/Faradje
C/Doruma;Doruma;T/Dungu
C/Duaru;Chefferie Duaru;T/Bondo
C/Dungu;Dungu;T/Kutu
C/Dungu-Uye;Dungu-Uye;V/Dungu
C/Ebomba;Ebomba;V/Bumba
C/Ebondo;Ebondo;T/Lubao
C/Ekutsu;Ekutsu;V/Yangambi
C/Eolo;Eolo;T/Idiofa
C/Esenge;Esenge;V/Lodja
C/Essefe;Essefe;V/Aru
C/Ewango;Ewango;V/Lumumba
C/Ezo;Chefferie Ezo;T/Ango
C/Faradje;Faradje;T/Faradje
C/Fataki;Fataki;T/Djugu
C/Feshi;Feshi;T/Feshi
C/Finant;Finant;V/Buta
C/Fizi;Fizi;T/Fizi
C/Fleuve;Fleuve;V/Isangi
C/Fungurume;Fungurume;T/Lubudi
C/Gama;Chefferie Gama;T/Bondo
C/Gamu;Chefferie Gamu;T/Poko
C/Gandza;Gandza;V/Watsa
C/Gaya;Chefferie Gaya;T/Bondo
C/Gbadolite;Gbadolite;V/Gbadolite
C/Gbazubu;Gbazubu;V/Gemena
C/Goa;Chefferie Goa;T/Bondo
C/Goma;Goma;V/Goma
C/Gombe;Gombe;V/Kinshasa
C/Hombo Nord;Hombo Nord;T/Walikale
C/Hombo Sud;Hombo Sud;T/Kalehe
C/Ibambi;Ibambi;T/Wamba
C/Ibanda;Ibanda;V/Bukavu
C/Idiofa;Idiofa;V/Idiofa
C/Ikela;Ikela;T/Ikela
C/Imona;Imona;V/Kasongo-Lunda
C/Inga;Inga;V/Tshilenge
C/Ingende;Ingende;T/Ingende
C/In-Kan (Kanintshina);Chefferie In-Kan (Kanintshina);T/Luilu
C/Inongo;Inongo;T/Kiri
C/Ipala;Ipala;V/Dibaya Lubwe
C/Irumu;Irumu;T/Irumu
C/Isabo;Isabo;V/Mangai
C/Isangi;Isangi;V/Isangi
C/Itimbiri;Itimbiri;V/Aketi
C/Kabama;Kabama;T/Popokabaka
C/Kabambare;Kabambare;T/Kabambare
C/Kabanda;Kabanda;V/Ngandajika
C/Kabangu;Kabangu;V/Bulungu
C/Kabare;Chefferie Kabare;T/Kabare
C/Kabemba;Kabemba;T/Kamonia
C/Kabinda (Kongolo);Kabinda (Kongolo);V/Kongolo
C/Kabinda (Tshilenge);Kabinda (Tshilenge);T/Tshilenge
C/Kabondo (Boma);Kabondo (Boma);V/Boma
C/Kabondo (Kabinda);Kabondo (Kabinda);V/Kabinda
C/Kabondo (Kisangani);Kabondo (Kisangani);V/Kisangani
C/Kabondo (Lusambo);Kabondo (Lusambo);V/Lusambo
C/Kabondo Dianda;Chefferie Kabondo Dianda;T/Bukama
C/Kabongo;Chefferie Kabongo;T/Kabongo
C/Kabuela-Buela;Kabuela-Buela;V/Kabinda
C/Kabunda;Kabunda;T/Kamonia
C/Kadutu;Kadutu;V/Bukavu
C/Kahonda;Kahonda;T/Kasongo
C/Kailo;Kailo;T/Kailo
C/Kajiba;Kajiba;V/Kabinda
C/Kakenge;Kakenge;T/Mweka
C/Kakobola;Kakobola;V/Gungu
C/Kakula;Kakula;T/Ngandajika
C/Kakwa;Chefferie Kakwa;T/Aru
C/Kakwa-Lamada;Chefferie Kakwa-Lamada;T/Faradje
C/Kalambayi;Chefferie Kalambayi;T/Ngandajika
C/Kalamu (Boma);Kalamu (Boma);V/Boma
C/Kalamu (Kinshasa);Kalamu;V/Kinshasa
C/Kalemie;Kalemie;V/Kalemie
C/Kalenda;Kalenda;T/Luilu
C/Kalenda-Kashila;Kalenda-Kashila;T/Tshilenge
C/Kaliko-Omi;Chefferie Kaliko-Omi;T/Aru
C/Kalo;Kalo;T/Idiofa
C/Kalubanda-Tshioji;Kalubanda-Tshioji;V/Ngandajika
C/Kaluebo;Kaluebo;T/Kazumba
C/Kalunda;Kalunda;V/Uvira
C/Kalunda-Musoko;Kalunda-Musoko;T/Ngandajika
C/Kalundja;Kalundja;V/Baraka
C/Kama (Namoya);Kama (Namoya);V/Namoya
C/Kama (Pangi);Kama (Pangi);T/Pangi
C/Kamako;Kamako;T/Kamonia
C/Kamalondo;Kamalondo;V/Lubumbashi
C/Kamana;Kamana;T/Lubao
C/Kamanyola;Kamanyola;T/Walungu
C/Kambove;Kambove;T/Kambove
C/Kamende;Kamende;T/Kabinda
C/Kamiji-Tshisangu;Kamiji-Tshisangu;T/Kamiji
C/Kamina;Kamina;V/Kamina
C/Kamisuku;Kamisuku;V/Kalima
C/Kamonia;Kamonia;T/Kamonia
C/Kampatshi;Kampatshi;V/Tshilenge
C/Kampemba;Kampemba;V/Lubumbashi
C/Kampene;Kampene;T/Pangi
C/Kamuesha;Kamuesha;T/Kamonia
C/Kananga;Kananga;V/Kananga
C/Kangamiese;Kangamiese;V/Masi-Manimba
C/Kangoy;Kangoy;V/Lubao
C/Kangoyi;Kangoyi;V/Kongolo
C/Kaniama;Kaniama;T/Kaniama
C/Kansabala;Chefferie Kansabala;T/Moba
C/Kanshi;Kanshi;V/Mbuji-Mayi
C/Kanteba;Kanteba;T/Manono
C/Kanyabayonga;Kanyabayonga;T/Lubero
C/Kanzala;Kanzala;V/Tshikapa
C/Kapanga;Kapanga;T/Kapanga
C/Kaponda;Chefferie Kaponda;T/Kipushi
C/Karisimbi;Karisimbi;V/Goma
C/Kasa (Bondo);Chefferie Kasa (Bondo);T/Bondo
C/Kasa (Kasongo-Lunda);Chefferie Kasa (Kasongo-Lunda);T/Kasongo-Lunda
C/Kasai;Kasai;V/Ilebo
C/Kasangulu;Kasangulu;V/Kasangulu
C/Kasa-Vubu;Kasa-Vubu;V/Kinshasa
C/Kasa-vubu (Tshela);Kasa-vubu (Tshela);V/Tshela
C/Kaseghe;Kaseghe;T/Lubero
C/Kasekeyi;Kasekeyi;T/Luilu
C/Kasenga (Kasenga);Kasenga (Kasenga);T/Kasenga
C/Kasenga (Luebo);Kasenga (Luebo);V/Luebo
C/Kasindi;Kasindi;T/Beni
C/Kasongo;Kasongo;V/Kasongo
C/Kasongo-Lunda;Chefferie Kasongo-Lunda;T/Kasongo-Lunda
C/Kasongo-Nyembo;Chefferie Kasongo-Nyembo;T/Kamina
C/Kasuku;Kasuku;V/Kindu
C/Kata-Kokombe;Kata-Kokombe;T/Katako-Kombe
C/Katanda;Katanda;T/Katanda
C/Katanga (Baraka);Katanga (Baraka);V/Baraka
C/Katanga (Kamonia);Katanga (Kamonia);T/Kamonia
C/Katapula;Katapula;V/Kipushi
C/Katemba;Katemba;V/Rutshuru
C/Katende (Dimbelenge);Katende (Dimbelenge);T/Dimbelenge
C/Katende (Miabi);Katende (Miabi);T/Miabi
C/Katoka;Katoka;V/Kananga
C/Katoto;Katoto;V/Lukalaba
C/Katshisungu;Chefferie Katshisungu;T/Luilu
C/Katuba;Katuba;V/Lubumbashi
C/Kaulu-Minono;Kaulu-Minono;T/Manono
C/Kavimvira;Kavimvira;V/Uvira
C/Kavumu;Kavumu;T/Kabare
C/Kayabala;Chefferie Kayabala;T/Moba
C/Kayamba;Chefferie Kayamba;T/Kabongo
C/Kayembe-Mukulu;Chefferie Kayembe-Mukulu;T/Sandoa
C/Kayna;Kayna;V/Luholu
C/Kayumba;Chefferie Kayumba;T/Malemba-Nkulu
C/Kazamba;Kazamba;V/Kikwit
C/Kaziba;Chefferie Kaziba;T/Walungu
C/Kazumba;Kazumba;T/Kazumba
C/Kebo;Chefferie Kebo;T/Watsa
C/Kembe;Chefferie Kembe;T/Opala
C/Kenge II;Kenge II;T/Kenge
C/Kenya;Kenya;V/Lubumbashi
C/Kereboro;Chefferie Kereboro;T/Niangara
C/Kibali;Kibali;V/Watsa
C/Kibanda;Chefferie Kibanda;T/Bukama
C/Kibeleketa;Kibeleketa;T/Punia
C/Kibirizi;Kibirizi;T/Rutshuru
C/Kibombo;Kibombo;T/Kibombo
C/Kibumba;Kibumba;T/Nyiragongo
C/Kikula;Kikula;V/Likasi
C/Kilambo;Kilambo;T/Walikale
C/Kiliba;Kiliba;T/Uvira
C/Kiluba;Chefferie Kiluba;T/Manono
C/Kilwa;Kilwa;T/Pweto
C/Kimbanseke;Kimbanseke;V/Kinshasa
C/Kimemi;Kimemi;V/Butembo
C/Kimeni;Kimeni;V/Butembo
C/Kimpese;Kimpese;V/Bangu
C/Kimvula;Kimvula;T/Kimvula
C/Kingwangala;Kingwangala;T/Kasongo-Lunda
C/Kinkondja;Chefferie Kinkondja;T/Bukama
C/Kinshasa;Kinshasa;V/Kinshasa
C/Kintambo;Kintambo;V/Kinshasa
C/Kintanu;Kintanu;V/Inkisi
C/Kintuadi;Kintuadi;V/Kasongo-Lunda
C/Kinyama;Chefferie Kinyama;T/Kipushi
C/Kinzau-Vuete;Kinzau-Vuete;T/Seke-Banza
C/Kiona-Ngoie;Chefferie Kiona-Ngoie;T/Mitwaba
C/Kiona-Nzini;Chefferie Kiona-Nzini;T/Pweto
C/Kipaka;Kipaka;T/Kasongo
C/Kipate;Chefferie Kipate;T/Poko
C/Kipese;Kipese;T/Lubero
C/Kipushi;Kipushi;V/Kipushi
C/Kiri;Kiri;T/Kiri
C/Kiringa;Kiringa;V/Rutshuru
C/Kirumba;Kirumba;V/Luholu
C/Kirumbu;Kirumbu;T/Masisi
C/Kirundu;Chefferie Kirundu;T/Ubundu
C/Kirungu;Kirungu;V/Kaoze
C/Kisangani;Kisangani;V/Kisangani
C/Kisantu;Kisantu;V/Inkisi
C/Kisenge;Kisenge;T/Dilolo
C/Kisenso;Kisenso;V/Kinshasa
C/Kisoma;Kisoma;T/Popokabaka
C/Kisumpa;Kisumpa;V/Lubao
C/Kitotolo;Kitotolo;T/Manono
C/Kitsombiro;Kitsombiro;T/Lubero
C/Kizikibi;Kizikibi;V/Shabunda
C/Kole;Kole;T/Kole
C/Kombe;Chefferie Kombe;T/Isangi
C/Kopa;Chefferie Kopa;T/Niangara
C/Kowe;Kowe;T/Punia
C/Kpanduma;Kpanduma;T/Djugu
C/Kumbila;Kumbila;V/Kasongo-Lunda
C/Kumendeni;Chefferie Kumendeni;T/Poko
C/Kumuru-Ezorili;Kumuru-Ezorili;V/Ingbokolo
C/Kungu;Kungu;T/Kungu
C/Kupa;Kupa;V/Isiro
C/Kutshiakoyi;Kutshiakoyi;T/Lodja
C/Kutu;Kutu;T/Kutu
C/Kwamouth;Kwamouth;T/Kwamouth
C/Kwilu (Bulungu);Kwilu (Bulungu);V/Bulungu
C/Kwilu (Gungu);Kwilu (Gungu);V/Gungu
C/Kwilu (Kahemba);Kwilu (Kahemba);V/Kahemba
C/Kwilu-Ngongo;Kwilu-Ngongo;T/Mbanza-Ngungu
C/Kwong'A;Kwong'A;V/Mahagi
C/Kyondo;Kyondo;T/Beni
C/La Gare;La Gare;V/Kasangulu
C/Labo;Labo;V/Gemena
C/Lac;Lac;V/Kalemie
C/Lac-Ntumba;Lac-Ntumba;V/Gemena
C/Lamba;Lamba;V/Kasongo
C/Laskuri;Laskuri;V/Aba
C/Laurent Désiré Kabila;Laurent Désiré Kabila;V/Kenge
C/Lemba;Lemba;V/Kinshasa
C/Lemba (Lukula);Lemba (Lukula);T/Lukula
C/Libenge;Libenge;T/Libenge
C/Likasi;Likasi;V/Likasi
C/Likati;Likati;T/Aketi
C/Likeri;Likeri;T/Kibombo
C/Limete;Limete;V/Kinshasa
C/Lingwala;Lingwala;V/Kinshasa
C/Liutua;Chefferie Liutua;T/Isangi
C/Logo-Bagela;Chefferie Logo-Bagela;T/Faradje
C/Logo-Doka;Chefferie Logo-Doka;T/Faradje
C/Logo-Lolia;Chefferie Logo-Lolia;T/Faradje
C/Logo-Obeleba;Chefferie Logo-Obeleba;T/Faradje
C/Logo-Ogambi;Chefferie Logo-Ogambi;T/Faradje
C/Lokenye;Lokenye;V/Lodja
C/Lokole;Lokole;V/Bumba
C/Lokombo;Lokombo;V/Mbuy-A-Tshow
C/Lokumete;Lokumete;V/Basoko
C/Lomami (Isangi);Lomami (Isangi);V/Isangi
C/Lomami (Lubao);Lomami (Lubao);V/Lubao
C/LomelaOlua;LomelaOlua;T/Lomela
C/Londa;Londa;V/Lodja
C/Longwe;Longwe;V/Namoya
C/Loolo;Loolo;V/Isangi
C/Lu;Chefferie Lu;T/Aru
C/Lualaba;Lualaba;V/Kongolo
C/Luambo;Luambo;T/Luiza
C/Lubangu;Lubangu;V/Kisangani
C/Lubefu;Lubefu;T/Lubefu
C/Lubelenge;Lubelenge;T/Kailo
C/Lubero;Lubero;T/Lubero
C/Lubilinga;Lubilinga;V/Lubutu
C/Lubudi;Lubudi;T/Lubudi
C/Lubuishi;Lubuishi;T/Dimbelenge
C/Lubumbashi;Lubumbashi;V/Lubumbashi
C/Lubunda;Chefferie Lubunda;T/Kongolo
C/Lubunga;Lubunga;V/Kisangani
C/Lubuya-Bera;Lubuya-Bera;V/Kisangani
C/Luebo;Luebo;V/Luebo
C/Luekechi;Luekechi;T/Kasongo
C/Luemba;Luemba;T/Kazumba
C/Luena;Luena;T/Bukama
C/Lueu;Lueu;V/Kasaji
C/Luhwindja;Chefferie Luhwindja;T/Mwenga
C/Luiza;Luiza;T/Luiza
C/Lukala;Lukala;V/Bangu
C/Lukala (Lukala);Lukala (Lukala);V/Lukala
C/Lukemi;Lukemi;V/Kikwit
C/Lukoji;Lukoji;V/Kasaji
C/Lukolela;Lukolela;V/Kikwit
C/Lukolela (Lukolela);Lukolela (Lukolela);T/Lukolela
C/Lukombo;Lukombo;T/Kamonia
C/Lukonga;Lukonga;V/Kananga
C/Lukonzi;Lukonzi;V/Bulungu
C/Lukuala;Lukuala;V/Masi-Manimba
C/Lukula;Lukula;V/Tshimbulu
C/Lukunga;Lukunga;V/Kalemie
C/Lukunza;Lukunza;V/Miabi
C/Lukushi;Lukushi;T/Manono
C/Lukwila;Lukwila;V/Gungu
C/Lulimbamisisi;Lulimbamisisi;T/Fizi
C/Lulingi;Lulingi;T/Shabunda
